Year,YrGroup
1965,start
1966,year
1967,start
1968,start
1969,year
1970,year
1971,year
1972,start
1973,year
1974,year
1975,year
1976,year
1977,year
1978,year
1979,start
1980,year
1981,year
1982,year
1983,year
1984,year
1985,year
1986,year
1987,start
1988,year
1989,year
1990,start
1991,year
1992,year
1993,End
1994,year
1995,year
1996,year
1997,End
1998,year
1999,year
2000,year
2001,year
2002,End
2003,year
2004,year
2005,End
2006,year
2007,year
2008,year
2009,year
2010,End
2011,year
2012,year
2013,year
2014,year
2015,End
2016,year
2017,year
2018,End
2019,year
2020,End
2021,year
2022,year


